"doc_id","from","text"
"107","JAR JAR","ahhh taut willy"
"108","QUI-GON",""
"109","JAR JAR","iss embarrissing boot afrai my've bean banished forgoten der bosses terrible tings terrible tings goen back dare"
"110","QUI-GON","hear sound thousand terrible things heading"
"111","OBI-WAN","find crush grind pieces blast oblivion"
"112","JAR JAR","yousa point dis hurry"
"113","QUI-GON","farther"
"114","JAR JAR","wesa goen underwater okeyday warning yous gungans liken outlaunders expict wern"
"115","OBI-WAN","worry day warm welcomes"
"116","JAR JAR","yousa follow okeyday"
"117","CAPT. TARPALS","hey yousa stopa dare"
"118","JAR JAR","heyo-dales cap'n tarpals mesa back"
"119","CAPT. TARPALS","noah gain jar jar yousa goen tada bosses yousa big dudu time"
"120","JAR JAR","wude"
"121","BOSS NASS","yousa bees hair dis army mackineeks dare tis weesong"
"122","QUI-GON","droid army attack naboo warn"
"123","BOSS NASS","wesa da naboo dey uss-ens da naboo tink day smarty den us-ens day tink day brains big"
"124","OBI-WAN","droids control surface control"
"125","BOSS NASS","mesa tink mesa scant talkie witda naboo nutten talkie outlaunders dos mackineeks comen dey uss-en"
"126","OBI-WAN","naboo form symbiont circle affect understand"
"127","BOSS NASS","wesa nutten yousa tings outlaunder wesa care-n da naboo"
"128","QUI-GON","speed"
"129","BOSS NASS","wesa gonna speed yousaway"
"130","QUI-GON","transport"
"131","BOSS NASS","wesa give yousa una bongo da speedest tooda naboo tis goen da core"
"132","QUI-GON","peace"
"133","OBI-WAN","master whats bongo"
"134","QUI-GON","transport hope"
"135","JAR JAR","daza setten yous goen da planet core bad bombin"
"136","OBI-WAN","short time master"
"137","QUI-GON","navigator planet's core gungan"
"138","QUI-GON","jar jar binks"
"139","BOSS NASS","binkss brokeen nocombackie law hisen pune-ished"
"140","QUI-GON","saved life owes call life-debt gods demand life belongs"
"141","BOSS NASS","binks yousa havena liveplay thisen hisen"
"142","BOSS NASS","begone wit"
"143","JAR JAR","count outta dis dead dead da core yee gods mesa sayin"
"144","JAR JAR","dis nutsen gooberfish"
"145","OBI-WAN","banished jar jar"
"146","JAR JAR","tis long tale buta small part wawdabe mesa ooooh aaaa clumsy"
"147","OBI-WAN","banished clumsy"
"148","JAR JAR","mesa cause-ed mabee duey lettal bitty axadentes yud-say boom da gasser crash der bosses heyblibber den banished"
"149","QUI-GON","bigger fish"
"150","JAR JAR","mesa tink goen back"
"151","NUTE","invasion schedule lord"
"152","DARTH SIDIOUS","senate bogged procedures time incident vote choice accept control system"
"153","NUTE","queen great faith senate side"
"154","DARTH SIDIOUS","queen amidala young naive find controlling difficult"
"155","NUTE","lord"
"156","RUNE","missing jedi"
"157","NUTE","report report"
"158","JAR JAR","wesa goin"
"159","QUI-GON","worry force guide"
"160","JAR JAR","maxi big da force dat smells stinkowiff"
"161","OBI-WAN","losing power"
"162","JAR JAR","wesa dyin"
"163","QUI-GON","relax trouble"
"164","JAR JAR","monstairs dare leak'n all'n sink'n nooooo power nutsen yousa tink wesa trouble"
"165","OBI-WAN","power's back"
"166","JAR JAR","monstairs back"
"167","QUI-GON","relax"
"168","OBI-WAN","overdid"
"169","QUI-GON","head outcropping"
"170","JAR JAR","wesa dead oie boie"
"171","OOM-9","viceroy captured queen"
"172","NUTE","ah victory"
"173","JAR JAR","wesa dude"
"174","BIBBLE","explain invasion senate"
"175","NUTE","naboo federation forge treaty legitimize occupation assured ratified senate"
"176","AMIDALA","co-operate"
"177","NUTE","highness store people time suffering persuade point view commander process"
"178","OOM-9","sir camp"
"179","QUI-GON","leave street highness"
"180","CAPT. PANAKA","weapons"
"181","JAR JAR","yousa guys bombad"
"182","QUI-GON","highness ambassadors supreme chancellor"
"183","BIBBLE","negotiations"
"184","QUI-GON","negotiations place highness make contact republic"
"185","CAPT. PANAKA","knocked communications"
"186","QUI-GON","transports"
"187","CAPT. PANAKA","main hanger"
"188","CAPT. PANAKA",""
"189","QUI-GON","problem highness circumstances suggest coruscant"
"190","AMIDALA","ambassador place people"
"191","QUI-GON","kill stay"
"192","BIBBLE","wouldn’t dare"
"193","CAPT. PANAKA","sign treaty make invasion legal afford kill"
"194","QUI-GON","situation highness logic federation's move feelings destroy"
"195","BIBBLE","hope senate side senator palpatine"
"196","AMIDALA","choice presents great risk"
"197","PADME","brave highness"
"198","QUI-GON","leave highness"
"199","AMIDALA","plead case senate careful governor"
"200","CAPT. PANAKA","free pilots"
"201","QUI-GON","deal"
"202","GUARD DROID","halt"
"203","QUI-GON","ambassador supreme chancellor taking people coruscant"
"204","GUARD DROID","taking"
"205","QUI-GON","coruscant"
"206","GUARD DROID","coruscant uh compute uh wait uh arrest"
"207","CAPT. PANAKA","move"
"208","OBI-WAN",""
"209","RIC OLIE","communications jammed"
"210","OBI-WAN","stay trouble"
"211","JAR JAR","ello boyos"
"212","RIC OLIE","blockade"
"213","RIC OLIE","shield generator's hit"
"214","OBI-WAN","losing droids fast"
"215","RIC OLIE","shield generator fixed sitting ducks"
"216","RIC OLIE","shields"
"217","RIC OLIE","powers back droid bypassed main power drive deflector shield maximum"
"218","RIC OLIE","power coruscant hyperdrive leaking"
"219","QUI-GON","land refuel repair ship"
"220","OBI-WAN","master tatooine small poor trade federation presence"
"221","CAPT. PANAKA",""
"222","QUI-GON","controlled hutts"
"223","CAPT. PANAKA","royal highness hutts gangsters discovered"
"224","QUI-GON","landed system controlled federation hutts advantage"
"225","DARTH SIDIOUS","queen amidala signed treaty"
"226","NUTE","disappeared lord naboo cruiser pat blockade"
"227","DARTH SIDIOUS","viceroy find treaty signed"
"228","NUTE","lord impossible locate ship range"
"229","DARTH SIDIOUS","sith viceroy apprentice lord maul find lost ship"
"230","NUTE","hand"
"231","RUNE","made bargain"
"232","CAPT. PANAKA","extremely put droid doubt saved ship lives"
"233","AMIDALA","commended number"
"234","CAPT. PANAKA","r2-d2 highness"
"235","AMIDALA","artoo detoo proven loyal padme"
"236","ARTOO","beeps"
"237","AMIDALA","clean droid deserves gratitude"
"238","AMIDALA","continue captain"
"239","QUI-GON","highness heading remote planet called tatooine system reach trade federation"
"240","CAPT. PANAKA","agree jedi"
"241","QUI-GON","trust judgment highness"
"242","JAR JAR","hidoe nomeanen scare yousa"
"243","ARTOO","beeps"
"244","JAR JAR","mesa ja ja binksss"
"245","PADME","padme attend highness gungan end"
"246","JAR JAR","mesa day starten pitty okeyday witda brisky morning munchen den boom getten berry skeered grabbed dat jedi mesa knowen pow mesa getten berry berry skeered"
"247","ARTOO","beeps"
"248","OBI-WAN","tatooine"
"249","RIC OLIE","settlement spaceport"
"250","QUI-GON","land outskirts attract attention"
"251","OBI-WAN","hyperdrive generator"
"252","QUI-GON","that'll complicate things wary sense disturbance force"
"253","OBI-WAN","fell master"
"254","QUI-GON","send transmissions"
"255","JAR JAR","dis sun doen murder tada skin"
"256","CAPT. PANAKA","wait  highness commands handmaiden wishes observe local"
"257","QUI-GON","commands highness today captain spaceport pleasant"
"258","CAPT. PANAKA","queen wishes curious planet"
"259","QUI-GON","good idea stay close"
"260","ARTOO","beeps"
"261","QUI-GON","moisture farms part indigenous tribes scavengers spaceports havens found"
"262","PADME",""
"263","JAR JAR","dissen berry berry bad icky icky goo"
"264","QUI-GON","smaller dealers"
"265","WATTO","good day"
"266","QUI-GON","parts j-type 327 nubian"
"267","WATTO","ah ah nubian lots kinda junk peedenkel naba dee unko"
"268","QUI-GON","droid readout"
"269","WATTO","coona tee-tocky malia"
"270","ANAKIN","mel tassa cho-passa"
"271","WATTO","chut-chut ganda doe wallya dwana bata soooo thee back ni find"
"272","QUI-GON","touch"
"273","ANAKIN","angel"
"274","PADME",""
"275","ANAKIN","angel heard deep space pilots talk live moons iego beautiful creatures universe good kind pretty make hardened spice pirate cry"
"276","PADME","funny boy"
"277","ANAKIN","listen traders star pilots pilot someday gonna fly place"
"278","PADME","pilot"
"279","ANAKIN","life"
"280","PADME","long"
"281","ANAKIN","mom sold gardulla hutt lost betting podraces watto lot master gardulla"
"282","PADME","slave"
"283","ANAKIN","person anakin"
"284","PADME","fully understand strange world"
"285","ANAKIN","hit nose"
"286","WATTO","t-14 hyperdrive generator thee luck hereabouts thee buy ship cheaper sying thee pay"
"287","QUI-GON","20000 republic dataries"
"288","WATTO","republic credits republic credits good real"
"289","QUI-GON","credits fine"
"290","WATTO","won'ta"
"291","QUI-GON","credits fine"
"292","WATTO","won'ta kinda jedi waving hand toydarian mind tricks don'ta work me-only money money parts deal t-14 hyperdrive promise"
"293","ANAKIN","lasted long good fixing things making droid"
"294","QUI-GON","leaving"
"295","PADME","glad met anakin"
"296","ANAKIN","glad met"
"297","WATTO","ootmians tinka chasa hopoe ma booty na nolia"
"298","ANAKIN","la lova num botaffa"
"299","WATTO","fweepa niaga tolpa da bunky dunko"
"300","QUI-GON","left board"
"301","OBI-WAN","containers supplies queen's wardrobe barter amounts talking"
"302","QUI-GON","solution present check back"
"303","JAR JAR","noah gain da beings hereabouts cawazy wesa robbed crunched"
"304","QUI-GON","problem"
"305","ARTOO","beeps"
"306","VENDOR","hey truguts"
"307","SEBULBA","chuba"
"308","JAR JAR","mesa"
"309","SEBULBA","ni chuba na"
"310","JAR JAR","mesa da"
"311","ANAKIN","chess ko sebulba coo wolpa tooney rana"
"312","SEBULBA","tooney rana nu pratta dunko shag"
"313","ANAKIN","da hutt cha porko ootman geesa teesa rodda pana pee choppa chawa"
"314","SEBULBA","neek chowa wermo mo killee ma klounkee una noto wo shag wompity du pom pom"
"315","ANAKIN","eh chee bana mullee ra"
"316","ANAKIN",""
"317","QUI-GON",""
"318","ANAKIN","buddy turned orange goo picked fight dug dangerous dug called sebulba"
"319","JAR JAR","nosir nosir mesa hate crunchen dat's da ting mesa wanten"
"320","QUI-GON","boy heading trouble young friend"
"321","JAR JAR","mesa doen nutten"
"322","OBI-WAN","storm's slow"
"323","CAPT. PANAKA","pretty bad seal ship"
"324","CAPT. PANAKA",""
"325","CONTROLLER","receiving message home"
"326","CAPT. PANAKA",""
"327","ANAKIN","pallies"
"328","QUI-GON",""
"329","JIRA","bones aching storm's coming ani home quick"
"330","ANAKIN","shelter"
"331","QUI-GON","head back ship"
"332","ANAKIN",""
"333","PADME","outskirts"
"334","ANAKIN","reach outskirts time sandstorms dangerous hurry"
"335","ARTOO","beeps"
"336","ANAKIN","mom mom home"
"337","JAR JAR","dissen cozy"
"338","ANAKIN","friends mom"
"339","QUI-GON","qui-gon jinn son kind offer shelter"
"340","ANAKIN","building droid wanna show 3po"
"341","ARTOO","beeps"
"342","ANAKIN","great finished"
"343","PADME","wonderful"
"344","ARTOO","beeps"
"345","ANAKIN","protocol droid mom watch"
"346","THREEPIO","see-threepio human cyborg relations serve"
"347","PADME","perfect"
"348","ANAKIN","storm racer building podracer"
"349","ARTOO","beeps"
"350","THREEPIO","floor stable"
"351","THREEPIO","introduced"
"352","ARTOO","beeps"
"353","THREEPIO","r2-d2 pleasure meet c-3po human cyborg relations"
"354","ARTOO","beeps"
"355","THREEPIO","beg pardon naked"
"356","ARTOO","beeps"
"357","THREEPIO","parts showing goodness"
"358","BIBBLE","death toll catastrophic bow wishes contact"
"359","OBI-WAN","trick send reply send transmission kind"
"360","QUI-GON","sounds bait establish connection trace"
"361","OBI-WAN","true people dying"
"362","QUI-GON","running time"
"363","DARTH MAUL","tatooine sparsely populated trace correct find quickly master"
"364","DARTH SIDIOUS","move jedi difficulty taking queen back naboo sign treaty"
"365","DARTH MAUL","reveal jedi revenge"
"366","DARTH SIDIOUS","trained young apprentice match"
"367","SHMI","slaves transmitters inside bodies"
"368","ANAKIN","working scanner locate luck"
"369","SHMI","attempt escape"
"370","ANAKIN","blow poof"
"371","JAR JAR","wude"
"372","PADME","slavery galaxy republic's anti-slavery laws"
"373","SHMI","republic exist survive"
"374","ANAKIN","podrace"
"375","QUI-GON","podracing malastare fast dangerous"
"376","ANAKIN","human"
"377","QUI-GON","jedi reflexes race pods"
"378","QUI-GON",""
"379","ANAKIN","ahhh jedi knight"
"380","QUI-GON","makes"
"381","ANAKIN","laser sword jedi carry kind weapon"
"382","QUI-GON","killed jedi stole"
"383","ANAKIN","kill jedi knight"
"384","QUI-GON",""
"385","ANAKIN","dream jedi back free slaves free"
"386","QUI-GON","afraid"
"387","ANAKIN",""
"388","QUI-GON","fooling coruscant central system republic important mission secret"
"389","ANAKIN","coruscant wow end outer rim"
"390","PADME","ship damaged stranded repair"
"391","ANAKIN","fix"
"392","QUI-GON","job acquire parts"
"393","JAR JAR","wit no-nutten mula trade"
"394","PADME","junk dealers weakness kind"
"395","SHMI","gambling revolves betting awful races"
"396","QUI-GON","podracing greed powerful ally properly"
"397","ANAKIN","built racer fastest big race tomorrow boonta eve enter pod finished"
"398","SHMI","anakin settle watto"
"399","ANAKIN","watto built"
"400","ANAKIN","make pilot"
"401","SHMI","race annie awful die time watto makes"
"402","ANAKIN","mom love trouble prize money pay parts"
"403","SHMI","anakin"
"404","QUI-GON","mother's friendly republic"
"405","SHMI",""
"406","ANAKIN","mom biggest problem universe helps"
"407","PADME","qui-gon put son danger find"
"408","SHMI","annie's meant"
"409","ANAKIN",""
"410","PADME","trusting fate boy queen approve"
"411","QUI-GON","queen"
"412","PADME","approve"
"413","WATTO","boy tells wanta sponser insa race afford parts republic credits"
"414","QUI-GON","ship entry fee"
"415","WATTO","bad bad nubian"
"416","QUI-GON","good order parts"
"417","WATTO","boy ride smashed pod race time fix"
"418","ANAKIN","ahhhh fault sebulba flashed vent ports saved pod"
"419","WATTO","boy good doubts"
"420","QUI-GON","acquired pod game chance fastest built"
"421","WATTO","hope kill supply pod entry fee  supply boy split winnings fifty-fifty"
"422","QUI-GON","fifty-fifty fifty-fifty suggest front cash entry win winnings minus cost parts lose ship"
"423","QUI-GON","win"
"424","WATTO","deal"
"425","WATTO","yo bana pee ho-tah meedee ya"
"426","OBI-WAN","plan fails master stuck long time"
"427","QUI-GON","ship power supply boy"
"428","QUI-GON","proud son thought reward"
"429","SHMI","greed"
"430","QUI-GON","special powers"
"431","SHMI",""
"432","QUI-GON","things happen appears quick reflexes jedi trait"
"433","SHMI","deserves slave's life"
"434","QUI-GON","born republic identified early force unusually strong clear father"
"435","SHMI","father carried gave birth explain happened"
"436","QUI-GON","free slaves"
"437","KITSTER","wow real astro droid how'd lucky"
"438","ANAKIN","half entered boonta race tomorrow"
"439","KITSTER",""
"440","WALD","annie jesko na joka"
"441","AMEE","working thing years run"
"442","SEEK","play ball annie gonna bug squash"
"443","ANAKIN","hey jar jar stay energy binders hand caught beam numb hours"
"444","JAR JAR","ouch-dats muy bigo oucho"
"445","THREEPIO","find jar jar creature odd"
"446","ARTOO","beeps"
"447","KITSTER","thing run"
"448","ANAKIN",""
"449","QUI-GON","time found power charge"
"450","QUI-GON","kitster move"
"451","JAR JAR","mouth ani stuck tongue fat"
"452","THREEPIO","odd"
"453","ARTOO","beeps"
"454","JAR JAR",""
"455","JAR JAR",""
"456","ANAKIN","working working"
"457","QUI-GON","sit annie clean cut"
"458","ANAKIN","system planets"
"459","QUI-GON",""
"460","ANAKIN",""
"461","QUI-GON",""
"462","ANAKIN","ouch"
"463","SHMI","annie bedtime"
"464","SHMI","annie"
"465","ANAKIN",""
"466","QUI-GON","checking blood infections big day tomorrow goodnight"
"467","QUI-GON","obi-wan"
"468","OBI-WAN","master"
"469","QUI-GON","make analysis blood sample sending"
"470","OBI-WAN","wait minute"
"471","QUI-GON","midi-chlorian count"
"472","OBI-WAN","reading chart 20000 master yoda midi-chlorian count high"
"473","QUI-GON","jedi"
"474","OBI-WAN",""
"475","QUI-GON",""
"476","WATTO","spaceship moment race"
"477","QUI-GON","patience blue friend winnings suns set"
"478","WATTO","ship belongs warn funny business"
"479","QUI-GON","anakin win"
"480","WATTO","wrongo great faith boy credit race sebulba win"
"481","QUI-GON",""
"482","WATTO","wins betting heavily sebulba"
"483","QUI-GON","bet"
"484","WATTO",""
"485","QUI-GON","wager racing pod boy mother"
"486","WATTO","pod slaves poerhaps mother boy sale"
"487","QUI-GON","boy small worth"
"488","QUI-GON","fastest pod built"
"489","QUI-GON","bet"
"490","WATTO","pod's worth slaves long shot slave"
"491","QUI-GON","boy"
"492","WATTO","fate decide blue boy red mother won small toss outlander win race makes difference"
"493","WATTO","bonapa keesa pateeso wanna meetee chobodd"
"494","ANAKIN",""
"495","QUI-GON",""
"496","ARTOO","beeps"
"497","THREEPIO","space travel sounds perilous"
"498","ARTOO","beeps"
"499","THREEPIO","assure dreadful starships"
"500","KITSTER","wizard time annie"
"501","PADME",""
"502","KITSTER","finish race"
"503","PADME","won race"
"504","ANAKIN",""
"505","PADME","finished"
"506","ANAKIN","kitster's time"
"507","QUI-GON",""
"508","BEED","toogi toogie toong mee cha kulkah du boonta magi tah oos azalus ooval poddraces"
"509","FODE","absolutely big turnout corners outer rim territories contestants making starting grid"
"510","BEED","la yma beestoo"
"511","FODE","ben quadinaros tund system"
"512","BEED","eh gasgano doowa newpa ord petrovia"
"513","FODE","time winner boles roor"
"514","BEED","poo tula moosta woe grane champio sebulba du pixelito splastyleeya bookie ookie"
"515","FODE","late entry anakin skywalker local boy"
"516","BEED","wampa peedunkee unko"
"517","FODE","flaggers moving track"
"518","SHMI","safe"
"519","ANAKIN","mom promise"
"520","SEBULBA","bazda wahota shag dobiella nok yoka bantha poodoo"
"521","ANAKIN","cha skrundee da pat sleemo"
"522","JABBA","ka bazza kundee hodrudda"
"523","QUI-GON","set annie"
"524","ANAKIN",""
"525","QUI-GON","rememberconcentrate moment feel trust instincts"
"526","ANAKIN",""
"527","QUI-GON","force"
"528","BEED","grandio lust jabba du hutt amu intoe tah parena"
"529","JABBA","chowbaso tam ka chee boonta rulee ya kee madda hodrudda du wundee"
"530","BEED","ya pawa culka doe rundee"
"531","FODE","hey clearing grid"
"532","SHMI","nervous"
"533","QUI-GON","fine"
"534","PADME","jedi reckless queen"
"535","QUI-GON","queen trusts judgment young handmaiden"
"536","PADME","assume"
"537","FODE","start engines"
"538","BEED","dare ovv"
"539","FODE","wait skywalker stalled"
"540","FODE","skywalker hard pressed catch leaders today"
"541","JAR JAR","ani"
"542","JAR JAR","careful ani careful ani"
"543","FODE","tusken raiders camped canyon dune turn"
"544","FODE","quadinaros power couplings"
"545","BEED","sebulba ka pa cheespa wata"
"546","THREEPIO","mister anakin"
"547","ARTOO","beeps"
"548","PADME",""
"549","ARTOO","beeps"
"550","THREEPIO","complete circuits dear"
"551","FODE","skywalker moving field"
"552","BEED","steeth pa nagoola"
"553","BEED","ody mandrell coona wa wunda dunko"
"554","ODY","droids"
"555","FODE","start final lap sebulba lead closely skywalker"
"556","FODE","skywalker forced service ramp"
"557","BEED","noah"
"558","FODE","amazing controlled thrust back move"
"559","FODE","catching sebulba"
"560","BEED","inkabunga"
"561","FODE","human mind"
"562","BEED","punda tah punda"
"563","FODE","side side"
"564","BEED","bongo du bongu"
"565","FODE","skywalker crowd nuts ah ah"
"566","ARTOO","beeps"
"567","THREEPIO",""
"568","JAR JAR","yay ani"
"569","ANAKIN","mom yay"
"570","JAR JAR","good ani"
"571","PADME","owe"
"572","SHMI","wonderful annie brought hope proud"
"573","ANAKIN","ah gee"
"574","WATTO","swindled knew boy win knew lost"
"575","QUI-GON","gamble friend eventually lose bring parts main hanger shop release boy"
"576","WATTO","fair bet"
"577","QUI-GON","discuss hutts settle"
"578","WATTO","tricks"
"579","QUI-GON","back unfinished business long"
"580","OBI-WAN","sense picked pathetic life form"
"581","QUI-GON","boy responsible parts start hyperdrive generator installed"
"582","OBI-WAN","master long"
"583","QUI-GON","sold pod"
"584","ANAKIN",""
"585","ANAKIN","mom sold pod money"
"586","SHMI","goodness wonderful"
"587","QUI-GON","anakin freed"
"588","ANAKIN",""
"589","QUI-GON","longer slave"
"590","ANAKIN","hear mom"
"591","SHMI","free"
"592","SHMI","jedi"
"593","QUI-GON","meeting coincidence accident strong force accepted council"
"594","ANAKIN","jedi mighty blasters starship"
"595","QUI-GON","anakin training jedi easy challenge succeed hard life"
"596","ANAKIN","dreamed"
"597","ANAKIN","mom"
"598","SHMI","path annie choice"
"599","ANAKIN",""
"600","QUI-GON","pack things time"
"601","ANAKIN","yippee"
"602","ANAKIN","mom free coming mom"
"603","QUI-GON","free mother annie watto"
"604","ANAKIN","coming mom"
"605","SHMI","son place future time"
"606","ANAKIN","stay things change"
"607","SHMI","stop change stop suns setting love hurry"
"608","SHMI",""
"609","QUI-GON","watch word"
"610","SHMI","yeah"
"611","ANAKIN","threepio free starship"
"612","THREEPIO","master annie maker naked"
"613","ANAKIN","finish threepio give coverings miss working great pal make mom sell"
"614","THREEPIO","sell"
"615","ANAKIN","bye"
"616","THREEPIO",""
"617","ANAKIN","mom"
"618","SHMI","annie"
"619","ANAKIN",""
"620","SHMI","heart"
"621","ANAKIN","hope guess"
"622","SHMI",""
"623","ANAKIN","jedi back free mom promise"
"624","SHMI","matter love brave back back"
"625","ANAKIN","master qui-gonsir wait"
"626","QUI-GON","anakin drop"
"627","QUI-GON","annie ship"
"628","CAPT. PANAKA","qui-gon's trouble"
"629","OBI-WAN","fly low"
"630","ANAKIN",""
"631","QUI-GON",""
"632","OBI-WAN",""
"633","QUI-GON","trained jedi arts guess queen"
"634","ANAKIN","gonna"
"635","QUI-GON","patient anakin skywalker meet obi-wan kenobi"
"636","ANAKIN","pleased meet wow jedi pleased meet"
"637","NUTE","queen lost people starving governor die sooner people afraid"
"638","BIBBLE","invasion gain democracy people decided"
"639","NUTE",""
"640","OOM-9","troops position begin searching swamps rumored underwater villages stay hidden long"
"641","BIBBLE","death toll catastrophic bow wishes contact"
"642","PADME",""
"643","ANAKIN","cold"
"644","PADME","warm planet annie warm taste space cold"
"645","ANAKIN","sad"
"646","PADME","queen worried people suffering dying convince senate intervene happen"
"647","ANAKIN","happen dunno made sou remember carved japor snippet bring good fortune"
"648","PADME","beautiful remember things change reach capital annie caring remain"
"649","ANAKIN","care miss"
"650","PADME","miss mother"
"651","RIC OLIE","coruscant capital republic entire planet big city chancellor valorum's shuttle senator palpatine waiting"
"652","PALPATINE","great gift alive majesty communications breakdown concerned anxious hear report situation present supreme chancellor valorum"
"653","VALORUM","highness honor finally meet person"
"654","AMIDALA","supreme chancellor"
"655","VALORUM","relay distressed currant situation called special session senate hear position"
"656","AMIDALA","grateful concern chancellor"
"657","PALPATINE","question procedure feel confident overcome"
"658","QUI-GON","speak jedi council immediately honor situation complicated"
"659","PADME","ani"
"660","JAR JAR","da queen's bein grossly nice mesa tinks pitty hot"
"661","PALPATINE","republic senate full greedy squabbling delegates home systems interest common good civility politics disgusting frank majesty chance senate act invasion"
"662","AMIDALA","chancellor valorum hope"
"663","PALPATINE","majesty chancellor real power mired baseless accusations corruption manufactured scandal surrounds bureaucrats charge"
"664","AMIDALA","options"
"665","PALPATINE","choice push election stronger supreme chancellor control bureaucrats enforces laws give justice call vote confidence chancellor valorum"
"666","AMIDALA","strongest supporter"
"667","PALPATINE","choice submit plea courts"
"668","AMIDALA","time courts longer decide things senate people dying senator day quickly stop federation"
"669","PALPATINE","realistic highness accept federation control time"
"670","AMIDALA",""
"671","QUI-GON","trained jedi arts conclusion sith lord"
"672","KI-ADI-MUNDI","impossible sith extinct millennium"
"673","MACE WINDU","returned knowing"
"674","YODA","hard dark side discover assassin"
"675","KI-ADI-MUNDI","sense reveal"
"676","MACE WINDU","resources unravel mystery discover identity attacker force"
"677","YODA","master qui-gon"
"678","QUI-GON","permission master encountered vergence force"
"679","YODA","vergence"
"680","MACE WINDU","located person"
"681","QUI-GON","boy cells highest concentration midi-chlorians life form conceived midi-chlorians"
