doc_id;from;to;text;where;number;nouns;determiners;conjunctions;adjectives;prepositions;pronouns;verbs;adverbs;undefined;time
44;NUTE;RUNE;Well, not exactly, but I don't seal off the bridge.;INT. FEDERATION BATTLESHIP - BRIDGE;10;0;0;0;0;0;0;0;0;0;90
45;RUNE;NUTE;That won't be enough, sir.;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
46;NUTE;RUNE;I want destroyer droids up here at once!;INT. FEDERATION BATTLESHIP - BRIDGE;8;0;0;0;0;0;0;0;0;0;72
47;RUNE;NUTE;We will not survive this.;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
48;NUTE;TEY HOW;Close the blast doors!;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
49;NUTE;TEY HOW;That will hold them.;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
50;RUNE;NUTE;They're still coming through!;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
51;NUTE;RUNE;Impossible! This is impossible!;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
52;RUNE;NUTE;Where are those destroyer droids?!;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
53;OBI-WAN;QUI-GON;Master! Destroyers!;INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE;2;0;0;0;0;0;0;0;0;0;18
54;OBI-WAN;QUI-GON;They have shield generators!;INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE;4;0;0;0;0;0;0;0;0;0;36
55;QUI-GON;OBI-WAN;It's a standoff. Let's go.;INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE;5;0;0;0;0;0;0;0;0;0;45
56;RUNE;NUTE;They're no match for destroyer droids.;INT. FEDERATION BATTLESHIP - BRIDGE;6;0;0;0;0;0;0;0;0;0;54
57;TEY HOW;NUTE;Sir, they've gone up the ventilation shaft.;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
58;QUI-GON;OBI-WAN;Battle droids.;INT. FEDERATION BATTLESHIP - MAIN BAY;2;0;0;0;0;0;0;0;0;0;18
59;OBI-WAN;QUI-GON;It's an invasion army.;INT. FEDERATION BATTLESHIP - MAIN BAY;4;0;0;0;0;0;0;0;0;0;36
60;QUI-GON;OBI-WAN;It's an odd play for the Trade Federation. We've got to warn the Naboo and contact Chancellor Valorum. Let's split up. Stow aboard separate ships and meet down on the planet.;INT. FEDERATION BATTLESHIP - MAIN BAY;31;0;0;0;0;0;0;0;0;0;279
61;OBI-WAN;QUI-GON;You were right about one thing, Master. The negotiations were short.;INT. FEDERATION BATTLESHIP - MAIN BAY;11;0;0;0;0;0;0;0;0;0;99
62;TEY HOW;NUTE;Sir, a transmission from the planet.;INT. FEDERATION BATTLESHIP - BRIDGE;6;0;0;0;0;0;0;0;0;0;54
63;RUNE;NUTE;It's Queen Amidala herself.;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
64;NUTE;RUNE;At last we're getting results.;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
65;NUTE;NUTE;Again you come before me, Your highness.;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
66;AMIDALA;NUTE;You will not be pleased when you hear what I have to say, Viceroy Your trade boycott of our planet has ended.;INT. FEDERATION BATTLESHIP - BRIDGE;22;0;0;0;0;0;0;0;0;0;198
67;NUTE;AMIDALA;I was not aware of such a failure.;INT. FEDERATION BATTLESHIP - BRIDGE;8;0;0;0;0;0;0;0;0;0;72
68;AMIDALA;NUTE;I have word that the chancellor's ambassadors are with you now and that you have been commanded to reach settlement.;INT. FEDERATION BATTLESHIP - BRIDGE;20;0;0;0;0;0;0;0;0;0;180
69;NUTE;AMIDALA;I know nothing of any ambassadors. You must be mistaken.;INT. FEDERATION BATTLESHIP - BRIDGE;10;0;0;0;0;0;0;0;0;0;90
70;AMIDALA;NUTE;Beware, Viceroy the Federation is going too far this time.;INT. FEDERATION BATTLESHIP - BRIDGE;10;0;0;0;0;0;0;0;0;0;90
71;NUTE;AMIDALA;We would never do anything without the approval of the senate. You assume too much.;INT. FEDERATION BATTLESHIP - BRIDGE;15;0;0;0;0;0;0;0;0;0;135
72;AMIDALA;NUTE;We will see.;INT. FEDERATION BATTLESHIP - BRIDGE;3;0;0;0;0;0;0;0;0;0;27
73;RUNE;NUTE;She's right, the Senate will never;INT. FEDERATION BATTLESHIP - BRIDGE;6;0;0;0;0;0;0;0;0;0;54
74;NUTE;RUNE;It's too late now.;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
75;RUNE;NUTE;Do you think she suspects an attack?;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
76;NUTE;NUTE;I don't know, but we must move quickly to disrupt all communications down there.;INT. FEDERATION BATTLESHIP - BRIDGE;14;0;0;0;0;0;0;0;0;0;126
77;PALPATINE;AMIDALA;Negotiations haven't started because the ambassadors aren't there? How could that be true? I have assurances from the chancellor his ambassadors did arrive. It must handiwork negotiate ambassadors;INT. NABOO PALACE - THRONE ROOM;28;0;0;0;0;0;0;0;0;0;252
78;AMIDALA;PALPATINE;Senator Palpatine?!? What's happening?;INT. NABOO PALACE - THRONE ROOM;4;0;0;0;0;0;0;0;0;0;36
79;CAPT. PANAKA;CONTROLLER;Check the transmission generators;INT. NABOO PALACE - THRONE ROOM;4;0;0;0;0;0;0;0;0;0;36
80;BIBBLE;AMIDALA;A malfunction?;INT. NABOO PALACE - THRONE ROOM;9;0;0;0;0;0;0;0;0;0;81
81;CAPT. PANAKA;AMIDALA;It could be the Federation jamming us. Your Highness.;INT. NABOO PALACE - THRONE ROOM;9;0;0;0;0;0;0;0;0;0;81
82;BIBBLE;AMIDALA;A communications disruption can only mean one thing. Invasion.;INT. NABOO PALACE - THRONE ROOM;9;0;0;0;0;0;0;0;0;0;81
83;AMIDALA;BIBBLE;The Federation would not dare go that far.;INT. NABOO PALACE - THRONE ROOM;8;0;0;0;0;0;0;0;0;0;72
84;CAPT. PANAKA;AMIDALA;The Senate would revoke their trade franchise, and they'd be finished.;INT. NABOO PALACE - THRONE ROOM;11;0;0;0;0;0;0;0;0;0;99
85;AMIDALA;BIBBLE;We must continue to rely on negotiation.;INT. NABOO PALACE - THRONE ROOM;7;0;0;0;0;0;0;0;0;0;63
86;BIBBLE;AMIDALA;Negotiation? We've lost all communications! and where are the Chancellors Ambassadors?;INT. NABOO PALACE - THRONE ROOM;11;0;0;0;0;0;0;0;0;0;99
87;CAPT. PANAKA;AMIDALA;This is a dangerous situation, Your Highness. Our security volunteers will be no match against a battle-hardened Federation army.;INT. NABOO PALACE - THRONE ROOM;19;0;0;0;0;0;0;0;0;0;171
88;AMIDALA;CAPT. PANAKA;I will not condone a course of action that will lead us to war.;INT. NABOO PALACE - THRONE ROOM;14;0;0;0;0;0;0;0;0;0;126
89;OOM-9;NUTE;Yes, Viceroy ?;EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX);3;0;0;0;0;0;0;0;0;0;27
90;RUNE;OOM-9;Captain, we've searched the ship and there is no trace of the Jedi. They may have gotten on one of your landing craft.;EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX);23;0;0;0;0;0;0;0;0;0;207
91;OOM-9;NUTE;If they are down here, sir, we'll find them.;EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX);9;0;0;0;0;0;0;0;0;0;81
92;NUTE;OOM-9;Use caution. These Jedi are not to be underestimated.;EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX);9;0;0;0;0;0;0;0;0;0;81
93;JAR JAR;QUI-GON;Use caution. These Jedi are not to be underestimated.;EXT. NABOO SWAMP - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
94;QUI-GON;JAR JAR;Get away! Get out of here! Get down!;EXT. NABOO SWAMP - TWILIGHT;8;0;0;0;0;0;0;0;0;0;72
95;JAR JAR;QUI-GON;Was'n dat? Hey, wait! Oh, mooie-mooie, I love you.;EXT. NABOO SWAMP - TWILIGHT;9;0;0;0;0;0;0;0;0;0;81
96;QUI-GON;JAR JAR;Are you brainless? You almost got us killed!;EXT. NABOO SWAMP - TWILIGHT;8;0;0;0;0;0;0;0;0;0;72
97;JAR JAR;QUI-GON;I spake.;EXT. NABOO SWAMP - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
98;QUI-GON;JAR JAR;The ability to speak does not make you intelligent. Now get outta here!;EXT. NABOO SWAMP - TWILIGHT;13;0;0;0;0;0;0;0;0;0;117
99;JAR JAR;QUI-GON;No no! Mesa stay Mesa yous humble servant.;EXT. NABOO SWAMP - TWILIGHT;8;0;0;0;0;0;0;0;0;0;72
100;QUI-GON;JAR JAR;That wont be necessary.;EXT. NABOO SWAMP - TWILIGHT;4;0;0;0;0;0;0;0;0;0;36
101;JAR JAR;QUI-GON;Oh boot tis! Tis demunded byda guds. Tis a live debett, tis. Mesa culled Jaja Binkss.;EXT. NABOO SWAMP - TWILIGHT;16;0;0;0;0;0;0;0;0;0;144
102;QUI-GON;JAR JAR;Stay down!;EXT. NABOO SWAMP - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
103;OBI-WAN;QUI-GON;What's this?;EXT. NABOO SWAMP - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
104;QUI-GON;OBI-WAN;A local. Let's get out of here before more droids show up.;EXT. NABOO SWAMP - TWILIGHT;12;0;0;0;0;0;0;0;0;0;108
105;JAR JAR;QUI-GON;More? More did you spake? Ex-squeeze-me, but de mostest safest place would be Gunga City.;EXT. NABOO SWAMP - TWILIGHT;15;0;0;0;0;0;0;0;0;0;135
106;QUI-GON;JAR JAR;A city! Can you take us there?;EXT. NABOO SWAMP - TWILIGHT;7;0;0;0;0;0;0;0;0;0;63
107;JAR JAR;QUI-GON;Ahhh, will on second taut no, not willy.;EXT. NABOO SWAMP - TWILIGHT;8;0;0;0;0;0;0;0;0;0;72
108;QUI-GON;JAR JAR;No?!;EXT. NABOO SWAMP - TWILIGHT;1;0;0;0;0;0;0;0;0;0;9
109;JAR JAR;QUI-GON;Iss embarrissing, boot My afrai my've bean banished. My forgoten der Bosses would do terrible tings to my. Terrible tings if my goen back dare.;EXT. NABOO SWAMP - TWILIGHT;25;0;0;0;0;0;0;0;0;0;225
110;QUI-GON;JAR JAR;You hear that? That's the sound of a thousand terrible things heading this way;EXT. NABOO SWAMP - TWILIGHT;14;0;0;0;0;0;0;0;0;0;126
111;OBI-WAN;JAR JAR;When they find us, they will crush us, grind us into little pieces, then blast us into oblivion!;EXT. NABOO SWAMP - TWILIGHT;18;0;0;0;0;0;0;0;0;0;162
112;JAR JAR;QUI-GON;Oh! Yousa point is well seen. Dis way! Hurry!;EXT. NABOO SWAMP - TWILIGHT;9;0;0;0;0;0;0;0;0;0;81
113;QUI-GON;JAR JAR;Much farther?;EXT. NABOO SWAMP LAKE - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
114;JAR JAR;QUI-GON;Wesa goen underwater, okeyday? My warning yous. Gungans no liken outlaunders. Don't expict a wern welcome.;EXT. NABOO SWAMP LAKE - TWILIGHT;16;0;0;0;0;0;0;0;0;0;144
115;OBI-WAN;JAR JAR;Don't worry, this has not been our day for warm welcomes.;EXT. NABOO SWAMP LAKE - TWILIGHT;11;0;0;0;0;0;0;0;0;0;99
116;JAR JAR;QUI-GON;Yousa follow me now, okeyday?;EXT. NABOO SWAMP LAKE - TWILIGHT;5;0;0;0;0;0;0;0;0;0;45
117;CAPT. TARPALS;JAR JAR;Hey, yousa. Stopa dare.;INT. OTOH GUNGA - CITY SQUARE;4;0;0;0;0;0;0;0;0;0;36
118;JAR JAR;CAPT. TARPALS;Heyo-dales, Cap'n Tarpals. Mesa back.;INT. OTOH GUNGA - CITY SQUARE;5;0;0;0;0;0;0;0;0;0;45
119;CAPT. TARPALS;JAR JAR;Noah gain, Jar Jar. Yousa goen tada Bosses. Yousa in big dudu this time.;INT. OTOH GUNGA - CITY SQUARE;14;0;0;0;0;0;0;0;0;0;126
120;JAR JAR;CAPT. TARPALS;How wude.;INT. OTOH GUNGA - CITY SQUARE;2;0;0;0;0;0;0;0;0;0;18
121;BOSS NASS;QUI-GON;Yousa cannot bees hair. Dis army of mackineeks up dare tis new weesong!;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;13;0;0;0;0;0;0;0;0;0;117
122;QUI-GON;BOSS NASS;That droid army is about to attack the Naboo. We must warn them.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;13;0;0;0;0;0;0;0;0;0;117
123;BOSS NASS;QUI-GON;Wesa no like da Naboo! Un dey no like uss-ens. Da Naboo tink day so smarty den us-ens. Day tink day brains so big.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;24;0;0;0;0;0;0;0;0;0;216
124;OBI-WAN;BOSS NASS;After those droids take control of the surface, they will come here and take control of you.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;17;0;0;0;0;0;0;0;0;0;153
125;BOSS NASS;OBI-WAN;No, mesa no tink so. Mesa scant talkie witda Naboo, and no nutten talkie it outlaunders. Dos mackineeks no comen here! Dey not know of uss-en.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;26;0;0;0;0;0;0;0;0;0;234
126;OBI-WAN;BOSS NASS;You and the Naboo form a symbiont circle. What happens to one of you will affect the other. You must understand this.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;22;0;0;0;0;0;0;0;0;0;198
127;BOSS NASS;OBI-WAN;Wesa wish no nutten in yousa tings, outlaunder, and wesa no care-n about da Naboo.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;15;0;0;0;0;0;0;0;0;0;135
128;QUI-GON;BOSS NASS;Then speed us on our way.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;6;0;0;0;0;0;0;0;0;0;54
129;BOSS NASS;QUI-GON;Wesa gonna speed yousaway.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;4;0;0;0;0;0;0;0;0;0;36
130;QUI-GON;BOSS NASS;We need a transport.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;4;0;0;0;0;0;0;0;0;0;36
131;BOSS NASS;QUI-GON;Wesa give yousa una bongo. Da speedest way tooda Naboo tis goen through da core. Now go.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;17;0;0;0;0;0;0;0;0;0;153
132;QUI-GON;BOSS NASS;Thank you for your help. We go in peace.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;9;0;0;0;0;0;0;0;0;0;81
133;OBI-WAN;QUI-GON;Master, whats a bongo?;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;4;0;0;0;0;0;0;0;0;0;36
134;QUI-GON;OBI-WAN;A transport, I hope.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;4;0;0;0;0;0;0;0;0;0;36
135;JAR JAR;QUI-GON;Daza setten yous up. Goen through da planet core is bad bombin!;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;12;0;0;0;0;0;0;0;0;0;108
136;OBI-WAN;QUI-GON;We are short of time, Master.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;6;0;0;0;0;0;0;0;0;0;54
137;QUI-GON;OBI-WAN;We'll need a navigator to get us through the planet's core. This Gungan my be of help.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;17;0;0;0;0;0;0;0;0;0;153
138;QUI-GON;BOSS NASS;What is to become of Jar Jar Binks here?;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;9;0;0;0;0;0;0;0;0;0;81
139;BOSS NASS;QUI-GON;Binkss brokeen the nocombackie law. Hisen to be pune-ished.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;9;0;0;0;0;0;0;0;0;0;81
140;QUI-GON;BOSS NASS;I saved his life. He owes me what you call a life-debt. Your gods demand that his life belongs to me now.;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;23;0;0;0;0;0;0;0;0;0;207
141;BOSS NASS;JAR JAR;Binks. Yousa havena liveplay with thisen hisen?;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;7;0;0;0;0;0;0;0;0;0;63
142;BOSS NASS;QUI-GON;Begone wit him!;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;3;0;0;0;0;0;0;0;0;0;27
143;JAR JAR;QUI-GON;Count me outta dis one. Better dead here than dead in da core. Yee gods! What mesa sayin?;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;18;0;0;0;0;0;0;0;0;0;162
144;JAR JAR;OBI-WAN;Dis is nutsen. Oh, gooberfish!;INT. SUB COCKPIT - UNDERWATER;5;0;0;0;0;0;0;0;0;0;45
145;OBI-WAN;JAR JAR;Why were you banished, Jar Jar?;INT. SUB COCKPIT - UNDERWATER;6;0;0;0;0;0;0;0;0;0;54
146;JAR JAR;OBI-WAN;Tis a long tale, buta small part wawdabe mesa ooooh aaaa clumsy.;INT. SUB COCKPIT - UNDERWATER;12;0;0;0;0;0;0;0;0;0;108
147;OBI-WAN;JAR JAR;They banished you because you're clumsy?;INT. SUB COCKPIT - UNDERWATER;6;0;0;0;0;0;0;0;0;0;54
148;JAR JAR;OBI-WAN;Mesa cause-ed mabee one or duey lettal bitty axadentes yud-say boom da gasser, un crash Der Bosses heyblibber den banished.;INT. SUB COCKPIT - UNDERWATER;20;0;0;0;0;0;0;0;0;0;180
149;QUI-GON;OBI-WAN;There's always a bigger fish.;INT. SUB COCKPIT - UNDERWATER;5;0;0;0;0;0;0;0;0;0;45
150;JAR JAR;OBI-WAN;Mesa tink we goen back now.;INT. SUB COCKPIT - UNDERWATER;6;0;0;0;0;0;0;0;0;0;54
151;NUTE;DARTH SIDIOUS;The invasion is on schedule, My Lord.;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
152;DARTH SIDIOUS;NUTE;I have the Senate bogged down in procedures. By the time this incident comes up for a vote, they will have no choice but to accept your control of the system.;INT. FEDERATION BATTLESHIP - BRIDGE;31;0;0;0;0;0;0;0;0;0;279
153;NUTE;DARTH SIDIOUS;The Queen has great faith the Senate will side with her.;INT. FEDERATION BATTLESHIP - BRIDGE;11;0;0;0;0;0;0;0;0;0;99
154;DARTH SIDIOUS;NUTE;Queen Amidala is young and naive. You will find controlling her will not be difficult.;INT. FEDERATION BATTLESHIP - BRIDGE;15;0;0;0;0;0;0;0;0;0;135
155;NUTE;DARTH SIDIOUS;Thank you, My Lord.;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
156;RUNE;NUTE;You didn't tell him about the missing Jedi?;INT. FEDERATION BATTLESHIP - BRIDGE;8;0;0;0;0;0;0;0;0;0;72
157;NUTE;RUNE;No need to report that to him, until we have something to report.;INT. FEDERATION BATTLESHIP - BRIDGE;13;0;0;0;0;0;0;0;0;0;117
158;JAR JAR;QUI-GON;Where wesa goin?;INT. SUB COCKPIT - UNDERWATER;3;0;0;0;0;0;0;0;0;0;27
159;QUI-GON;JAR JAR;Don't worry. The Force will guide us.;INT. SUB COCKPIT - UNDERWATER;7;0;0;0;0;0;0;0;0;0;63
160;JAR JAR;QUI-GON;Oh, maxi big, da Force. Well, dat smells stinkowiff.;INT. SUB COCKPIT - UNDERWATER;9;0;0;0;0;0;0;0;0;0;81
161;OBI-WAN;QUI-GON;we're losing power.;INT. SUB COCKPIT - UNDERWATER;3;0;0;0;0;0;0;0;0;0;27
162;JAR JAR;QUI-GON;Oh no! Wesa dyin' here.;INT. SUB COCKPIT - UNDERWATER;5;0;0;0;0;0;0;0;0;0;45
163;QUI-GON;JAR JAR;Just relax. We're not in trouble yet.;INT. SUB COCKPIT - UNDERWATER;7;0;0;0;0;0;0;0;0;0;63
164;JAR JAR;QUI-GON;What yet? Monstairs out dare! Leak'n in here, all'n sink'n, and nooooo power! You nutsen! WHEN YOUSA TINK WESA IN TROUBLE?!?;INT. SUB COCKPIT - UNDERWATER;21;0;0;0;0;0;0;0;0;0;189
165;OBI-WAN;QUI-GON;Power's back.;INT. SUB COCKPIT - UNDERWATER;2;0;0;0;0;0;0;0;0;0;18
